COD_NAT_DESPESA;Natureza Despesa;COD_NAT_DETALHADA;Natureza Despesa Detalhada;Métrica;Mês;Empenhado;Liquidado;Porcentagem Empenhado;Porcentagem Liquidado
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;FEV/2024;02/2024;39.300,80;0;0,70%;0,00%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;MAR/2024;03/2024;1.536,15;23.983,30;0,03%;0,42%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;ABR/2024;04/2024;59.220,53;45.758,75;1,05%;0,81%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;MAI/2024;05/2024;23.042,37;17.052,23;0,41%;0,30%
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;JUN/2024;06/2024;0;0;0,00%;0,00%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;JAN/2024;01/2024;146.240,83;130.828,58;2,59%;2,31%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;FEV/2024;02/2024;132.899,24;34.094,07;2,35%;0,60%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;MAR/2024;03/2024;279.000,00;285.595,68;4,94%;5,05%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;ABR/2024;04/2024;455.000,00;185.079,38;8,05%;3,27%
339037;LOCACAO DE MAO-DE-OBRA;33903701;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;MAI/2024;05/2024;915.300,12;56.659,03;16,19%;1,00%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;MAR/2024;03/2024;9.200,00;4.600,00;0,16%;0,08%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;ABR/2024;04/2024;52.800,00;24.200,00;0,93%;0,43%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;MAI/2024;05/2024;154.198,00;26.138,00;2,73%;0,46%
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;JUN/2024;06/2024;0;6.700,00;0,00%;0,12%
339040;SERVICOS DE TECNOLOGIA DA INFORMACAO E COMUNICACAO - PJ;33904013;COMUNICACAO DE DADOS E REDES EM GERAL;FEV/2024;02/2024;4.800,00;4.800,00;0,08%;0,08%
