Cod_Natureza_Despesa;Natureza Despesa;Cod_Natureza_Despesa_Detalhada;Natureza Despesa Detalhada;Cod_Favorecido;Nome Favorecido;DESCRICAO;Mês;Saldo
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158459;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;3350,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158460;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;3212,41 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158461;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;0,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158462;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;0,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158463;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;1000,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158464;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;0,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158465;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;5000,00 
339014;DIARIAS - PESSOAL CIVIL;33901414;DIARIAS NO PAIS;158467;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;JAN/2024;0,00 
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;158459;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;4600,00 
339018;AUXILIO FINANCEIRO A ESTUDANTES;33901801;BOLSAS DE ESTUDO NO PAIS;158459;IF CATARINENSE - CAMPUS ARAQUARI;DESCRIÇÃO;MAR/2024;4600,00 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;22091627000138;AGRIVET DISTRIBUIDORA LTDA;DESCRIÇÃO;FEV/2024;3567,50 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;34641081000120;MIX REPRESENTACOES E COMERCIO EM GERAL LTDA;DESCRIÇÃO;FEV/2024;6925,00 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;34641081000120;MIX REPRESENTACOES E COMERCIO EM GERAL LTDA;DESCRIÇÃO;FEV/2024;4825,00 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;07869224000183;NORSKPAR COMERCIAL LTDA;DESCRIÇÃO;MAR/2024;147,66 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;09051762000191;NUTRIGERO NUTRICAO ANIMAL LTDA;DESCRIÇÃO;FEV/2024;3312,05 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;40713112000104;RANCHO DISTRIBUIDORA LTDA;DESCRIÇÃO;FEV/2024;2865,00 
339030;MATERIAL DE CONSUMO;33903006;ALIMENTOS PARA ANIMAIS;18694818000117;VALDIR GUILHERME DUTRA;DESCRIÇÃO;FEV/2024;17.806,25 
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;76051036000166;AGL - COMERCIO DE GENEROS ALIMENTICIOS LTDA;DESCRIÇÃO;MAR/2024;572,55 
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;26290918000106;DANIELA TENFEN DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;355,50 
339030;MATERIAL DE CONSUMO;33903007;GENEROS DE ALIMENTACAO;10918462000146;TEMPEROS DO VALE LTDA;DESCRIÇÃO;MAR/2024;46,72 
339030;MATERIAL DE CONSUMO;33903012;MATERIAL DE COUDELARIA OU DE USO ZOOTECNICO;07869224000183;NORSKPAR COMERCIAL LTDA;DESCRIÇÃO;MAR/2024;123,00 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;22091627000138;AGRIVET DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;1974,12 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;49386357000149;CAT DOG ATACADO LTDA;DESCRIÇÃO;MAR/2024;8817,71 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;10732150000143;COMERCIAL CEDRO EIRELI;DESCRIÇÃO;MAR/2024;2126,83 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;85318533000179;GERPAGRO DISTRIBUIDORA DE PRODUTOS AGROPECUARIOS EIRELI;DESCRIÇÃO;MAR/2024;10629,44 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;85318533000179;GERPAGRO DISTRIBUIDORA DE PRODUTOS AGROPECUARIOS EIRELI;DESCRIÇÃO;MAR/2024;0,78 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;43820517000130;J.C TELLES LTDA;DESCRIÇÃO;MAR/2024;172,50 
339030;MATERIAL DE CONSUMO;33903018;MATERIAIS E MEDICAMENTOS P/ USO VETERINARIO;38457380000160;SAUDE MOGI MEDICAMENTOS LTDA;DESCRIÇÃO;MAR/2024;2877,33 
339030;MATERIAL DE CONSUMO;33903022;MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;49386357000149;CAT DOG ATACADO LTDA;DESCRIÇÃO;MAR/2024;103,60 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;49834027000179;AGREGA DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;1603,65 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;52110281000139;ALAGOANNA COMERCIO DE MATERIAS  DE CONSTRUCAO LTDA;DESCRIÇÃO;MAR/2024;489,15 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;43892634000109;BRAVE DISTRIBUIDORA LTDA;DESCRIÇÃO;MAR/2024;600,00 
339030;MATERIAL DE CONSUMO;33903024;MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;40044357000196;CJC COMERCIO VAREJISTA E ATACADISTA DE FERRAMENTAS LTD;DESCRIÇÃO;MAR/2024;805,15 
